"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"398","P100355","PERFURACAO 14 3/4"" COM ALARGADOR 16"""
"399","P100360","PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"400","D01365","PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"401","E01365","PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"402","D01400","PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"403","P100390","PERFURACAO 14 3/4"" FINAL"
"404","D01533","PERFURACAO 14 3/4"" FINAL"
"405","P100380","PERFURACAO 14 3/4"" PILOTO"
"406","D01505","PERFURACAO 14 3/4"" PILOTO"
"407","P100330","PERFURACAO 16 1/2"""
"408","P100315","PERFURACAO 16 1/2"" COM ALARGADOR 18"""
"409","P100320","PERFURACAO 16 1/2"" COM ALARGADOR 20"""
"410","P100335","PERFURACAO 16 1/2"" FINAL"
"411","P100340","PERFURACAO 16"""
"412","D01380","PERFURACAO 16"""
"413","E01349","PERFURACAO 16"" COM ALARGADOR 17 1/2"""
"414","P100345","PERFURACAO 16"" COM ALARGADOR 17 1/2"""
"415","P100350","PERFURACAO 16"" FINAL"
"416","D01392","PERFURACAO 16"" FINAL"
"417","P100300","PERFURACAO 17 1/2"""
"418","D01300","PERFURACAO 17 1/2"""
"419","P100300REC","PERFURACAO 17 1/2"""
"420","D01310","PERFURACAO 17 1/2"""
"421","P100225","PERFURACAO 17 1/2"" COM ALARGADOR 19 1/2"""
"422","P100230","PERFURACAO 17 1/2"" COM ALARGADOR 20"""
"423","P100270","PERFURACAO 17 1/2"" COM ALARGADOR 22"""
"424","D01315","PERFURACAO 17 1/2"" COM ALARGADOR 22"""
"425","P100240","PERFURACAO 17 1/2"" COM ALARGADOR 24"""
"426","E01301","PERFURACAO 17 1/2"" continuacao"
"427","P100310","PERFURACAO 17 1/2"" FINAL"
"428","P100300PF","PERFURACAO 17 1/2"" FINAL"
"429","P100280","PERFURACAO 18 1/2"""
"430","P100250","PERFURACAO 18 1/2"" COM ALARGADOR 22"""
"431","P100290","PERFURACAO 18 1/8"""
